Department,Sub-Department,Skills,Experience,Job Role
Professional Services,Documentation,"Product Documentation, Knowledge Management, Technical Writing, Process Documentation",2-3 years in project management,Documentation Specialist
Administration,Facilities Maintenance,"Building Repairs, Preventive Maintenance, Vendor Management, Inventory Control, Facility Operations",3-5 years in facility maintenance,Facilities Maintenance Specialist
Finance,Sales,"Account Reconciliation, Financial Reporting, Revenue Reporting, Client Budgeting, Sales Analytics",3-5 years in budgeting,Sales Specialist
Product Management,Marketing/Communication,"Public Relations, Brand Development, Social Media Strategy, Content Marketing",2-3 years in marketing,Marketing/Communication Specialist
Human Resources,Personnel,"Payroll Management, Employee Relations, Compliance Management, Workforce Planning",3-5 years in payroll management,Personnel Specialist
Business Development,Bids,"Tender Management, Proposal Writing, Bid Strategies, Contract Negotiation",3-5 years in negotiation,Bids Specialist
Finance,Cash Management,"Cash Flow Forecasting, Liquidity Management, Treasury Management, Investment Analysis, Bank Reconciliation",3-5 years in accounting,Cash Management Specialist
Professional Services,Support Services,"Customer Service, Customer Communication, Incident Management, Technical Support, IT Troubleshooting",2-3 years in project management,Support Services Specialist
Business Development,Bids,"Competitive Analysis, Proposal Writing, Contract Negotiation, Tender Management",3-5 years in negotiation,Bids Specialist
Product Development,Front-End,"CSS3, HTML5, JavaScript, Vue.js, React.js, Angular",3-5 years in mobile app development,Front-End Specialist
Product Management,Marketing/Communication,"SEO Optimization, Brand Development, Public Relations, Content Marketing, Social Media Strategy",3-5 years in product management,Marketing/Communication Specialist
Human Resources,HRD,"Employee Development, Succession Planning, Leadership Development, Performance Management, Training Programs",2-3 years in recruitment,HRD Specialist
Professional Services,Support Services,"Customer Service, Technical Support, Incident Management, Customer Communication, IT Troubleshooting",5-7 years in technical support,Support Services Specialist
Product Management,ERP/ERP/PMS Solutions,"Product Lifecycle Management, ERP Deployment, Customer Support, Vendor Management, Agile Development",3-5 years in customer communication,ERP/ERP/PMS Solutions Specialist
Human Resources,HRIS,"HR Information Systems, HR Software Integration, Benefits Administration, Data Analytics, Employee Records Management",3-5 years in payroll management,HRIS Specialist
Human Resources,HRIS,"Data Analytics, HR Information Systems, Benefits Administration, HR Software Integration",2-3 years in recruitment,HRIS Specialist
Professional Services,Infrastructure Design Consulting,"Data Center Planning, Cloud Computing, Network Architecture, IT Infrastructure, Virtualization",5-7 years in technical support,Infrastructure Design Consulting Specialist
Professional Services,Infrastructure Design Consulting,"Network Architecture, IT Infrastructure, Virtualization, Data Center Planning, Cloud Computing",5-7 years in technical support,Infrastructure Design Consulting Specialist
Product Management,ERP/ERP/PMS Solutions,"ERP Deployment, Vendor Management, Customer Support, Product Lifecycle Management, Agile Development",3-5 years in customer communication,ERP/ERP/PMS Solutions Specialist
Professional Services,Support Services,"Customer Communication, Incident Management, IT Troubleshooting, Customer Service, Technical Support",3-5 years in infrastructure design,Support Services Specialist
Human Resources,Recruitment,"Talent Acquisition, Job Posting, Hiring Strategy, Interviewing, Employee Onboarding",3-5 years in HR management,Recruitment Specialist
Business Development,Bids,"Contract Negotiation, Proposal Writing, Competitive Analysis, Bid Strategies, Tender Management",3-5 years in sales strategy,Bids Specialist
Product Development,Mobile Apps,"Android Development, React Native, iOS Development, Mobile Testing, Mobile UI/UX",3-5 years in mobile app development,Mobile Apps Specialist
Administration,Security & Utility,"Security Management, Compliance Management, Facility Security, Risk Assessment, Energy Management",3-5 years in facility maintenance,Security & Utility Specialist
Business Development,Sales Support,"Sales Strategy, Sales Forecasting, Sales Pipeline Management, Customer Relationship, Lead Generation",3-5 years in negotiation,Sales Support Specialist
Administration,Admin Office,"Scheduling, Office Management, Document Management, Event Planning, Client Communication",2-3 years in office management,Admin Office Specialist
Human Resources,HRIS,"HR Information Systems, Employee Records Management, Benefits Administration, Data Analytics, HR Software Integration",2-3 years in recruitment,HRIS Specialist
Business Development,MENAT/Gulf,"Multilingual Communication, Sales Territory Management, Regional Marketing, Market Penetration, Customer Acquisition",2-3 years in market analysis,MENAT/Gulf Specialist
Product Development,Mobile Apps,"iOS Development, Mobile Testing, Mobile UI/UX, React Native, Android Development",2-3 years in software development,Mobile Apps Specialist
Human Resources,Recruitment,"Hiring Strategy, Talent Acquisition, Employee Onboarding, Interviewing, Job Posting",3-5 years in HR management,Recruitment Specialist
Human Resources,HRD,"Employee Development, Leadership Development, Training Programs, Performance Management",2-3 years in recruitment,HRD Specialist
Professional Services,Support Services,"Customer Service, Incident Management, Customer Communication, IT Troubleshooting, Technical Support",2-3 years in project management,Support Services Specialist
Finance,Cash Management,"Cash Flow Forecasting, Bank Reconciliation, Treasury Management, Liquidity Management",2-3 years in financial analysis,Cash Management Specialist
Professional Services,Support Services,"IT Troubleshooting, Technical Support, Customer Communication, Customer Service, Incident Management",3-5 years in infrastructure design,Support Services Specialist
Administration,Admin Office,"Client Communication, Office Management, Event Planning, Scheduling, Document Management",2-3 years in security management,Admin Office Specialist
Business Development,Bids,"Contract Negotiation, Bid Strategies, Tender Management, Proposal Writing, Competitive Analysis",3-5 years in sales strategy,Bids Specialist
Finance,Cash Management,"Treasury Management, Cash Flow Forecasting, Investment Analysis, Liquidity Management, Bank Reconciliation",2-3 years in financial analysis,Cash Management Specialist
Finance,Budgeting,"Cost Analysis, Financial Reporting, Budget Planning, Cash Flow Management, Risk Management",2-3 years in financial analysis,Budgeting Specialist
Professional Services,Support Services,"Customer Service, IT Troubleshooting, Customer Communication, Technical Support, Incident Management",3-5 years in infrastructure design,Support Services Specialist
Product Development,Data Base,"NoSQL Databases, Database Security, Database Optimization, ETL Processes",3-5 years in front-end development,Data Base Specialist
Administration,Security & Utility,"Facility Security, Energy Management, Compliance Management, Risk Assessment, Security Management",2-3 years in security management,Security & Utility Specialist
Professional Services,PMO,"Stakeholder Communication, Risk Management, Project Management, Project Scheduling, Agile Methodology",5-7 years in technical support,PMO Specialist
Product Management,Quality Management,"Compliance Standards, Regulatory Requirements, Quality Assurance, Process Improvement, Test Automation",3-5 years in product management,Quality Management Specialist
Human Resources,HRD,"Training Programs, Succession Planning, Performance Management, Employee Development, Leadership Development",3-5 years in payroll management,HRD Specialist
Human Resources,Personnel,"Workforce Planning, Compliance Management, HR Policies, Employee Relations",3-5 years in HR management,Personnel Specialist
Professional Services,PMO,"Stakeholder Communication, Project Management, Risk Management, Agile Methodology, Project Scheduling",5-7 years in technical support,PMO Specialist
Administration,Security & Utility,"Energy Management, Risk Assessment, Facility Security, Security Management, Compliance Management",3-5 years in facility maintenance,Security & Utility Specialist
Professional Services,Documentation,"Product Documentation, Knowledge Management, Process Documentation, Business Requirements",3-5 years in infrastructure design,Documentation Specialist
Human Resources,HRD,"Employee Development, Training Programs, Leadership Development, Performance Management, Succession Planning",2-3 years in recruitment,HRD Specialist
Product Development,Education Solutions,"Java, Data Analytics, Cloud Solutions, System Integration, Software Development",3-5 years in front-end development,Education Solutions Specialist
Finance,Budgeting,"Cash Flow Management, Cost Analysis, Financial Reporting, Budget Planning, Risk Management",2-3 years in financial analysis,Budgeting Specialist
Professional Services,PMO,"Agile Methodology, Risk Management, Project Management, Stakeholder Communication, Project Scheduling",3-5 years in infrastructure design,PMO Specialist
Business Development,Sales Support,"Lead Generation, Sales Pipeline Management, Sales Forecasting, Sales Strategy",3-5 years in sales strategy,Sales Support Specialist
Finance,Budgeting,"Risk Management, Financial Reporting, Cash Flow Management, Cost Analysis, Budget Planning",3-5 years in accounting,Budgeting Specialist
Human Resources,HRIS,"Employee Records Management, HR Software Integration, Data Analytics, Benefits Administration, HR Information Systems",2-3 years in recruitment,HRIS Specialist
Finance,Budgeting,"Risk Management, Cash Flow Management, Cost Analysis, Financial Reporting, Budget Planning",3-5 years in budgeting,Budgeting Specialist
Product Development,Mobile Apps,"Mobile UI/UX, Android Development, React Native, iOS Development, Mobile Testing",3-5 years in front-end development,Mobile Apps Specialist
Product Management,Education Solutions,"User Research, Business Strategy, Customer Analysis, Product Roadmap, Market Research",3-5 years in customer communication,Education Solutions Specialist
Finance,Sales,"Financial Reporting, Revenue Reporting, Account Reconciliation, Client Budgeting, Sales Analytics",3-5 years in budgeting,Sales Specialist
Professional Services,Documentation,"Business Requirements, Knowledge Management, Technical Writing, Product Documentation",5-7 years in technical support,Documentation Specialist
Administration,Security & Utility,"Facility Security, Energy Management, Compliance Management, Security Management, Risk Assessment",2-3 years in office management,Security & Utility Specialist
Professional Services,PMO,"Stakeholder Communication, Project Management, Risk Management, Project Scheduling, Agile Methodology",5-7 years in technical support,PMO Specialist
Professional Services,PMO,"Project Management, Project Scheduling, Stakeholder Communication, Agile Methodology",2-3 years in project management,PMO Specialist
Business Development,Bids,"Competitive Analysis, Tender Management, Contract Negotiation, Proposal Writing, Bid Strategies",3-5 years in sales strategy,Bids Specialist
Administration,Security & Utility,"Facility Security, Energy Management, Security Management, Compliance Management",2-3 years in security management,Security & Utility Specialist
Product Management,ERP/ERP/PMS Solutions,"ERP Deployment, Agile Development, Vendor Management, Customer Support, Product Lifecycle Management",2-3 years in marketing,ERP/ERP/PMS Solutions Specialist
Business Development,Pre-Sales,"Product Demonstrations, Solution Design, Technical Presentations, Sales Engineering, Client Interaction",2-3 years in market analysis,Pre-Sales Specialist
Professional Services,Support Services,"IT Troubleshooting, Customer Service, Technical Support, Customer Communication, Incident Management",2-3 years in project management,Support Services Specialist
Human Resources,Personnel,"Employee Relations, Payroll Management, Workforce Planning, HR Policies, Compliance Management",3-5 years in payroll management,Personnel Specialist
Administration,Admin Office,"Office Management, Event Planning, Scheduling, Document Management, Client Communication",2-3 years in security management,Admin Office Specialist
Product Management,Marketing/Communication,"Content Marketing, Brand Development, Social Media Strategy, Public Relations",3-5 years in product management,Marketing/Communication Specialist
Business Development,Pre-Sales,"Solution Design, Product Demonstrations, Technical Presentations, Client Interaction",3-5 years in negotiation,Pre-Sales Specialist
Product Management,ERP/ERP/PMS Solutions,"Product Lifecycle Management, Agile Development, Vendor Management, Customer Support, ERP Deployment",3-5 years in customer communication,ERP/ERP/PMS Solutions Specialist
Finance,Budgeting,"Cost Analysis, Budget Planning, Risk Management, Cash Flow Management, Financial Reporting",3-5 years in accounting,Budgeting Specialist
Human Resources,Personnel,"Compliance Management, Workforce Planning, HR Policies, Employee Relations, Payroll Management",3-5 years in payroll management,Personnel Specialist
Administration,Admin Office,"Office Management, Document Management, Event Planning, Client Communication, Scheduling",2-3 years in security management,Admin Office Specialist
Product Management,Marketing/Communication,"SEO Optimization, Social Media Strategy, Brand Development, Content Marketing, Public Relations",3-5 years in customer communication,Marketing/Communication Specialist
Professional Services,Documentation,"Technical Writing, Process Documentation, Knowledge Management, Product Documentation, Business Requirements",2-3 years in project management,Documentation Specialist
Human Resources,Personnel,"Compliance Management, Employee Relations, HR Policies, Workforce Planning",2-3 years in recruitment,Personnel Specialist
Administration,Facilities Maintenance,"Building Repairs, Vendor Management, Inventory Control, Preventive Maintenance",2-3 years in office management,Facilities Maintenance Specialist
Administration,Security & Utility,"Compliance Management, Security Management, Risk Assessment, Facility Security",3-5 years in facility maintenance,Security & Utility Specialist
Finance,Budgeting,"Risk Management, Cash Flow Management, Budget Planning, Cost Analysis, Financial Reporting",2-3 years in financial analysis,Budgeting Specialist
Business Development,Sales Support,"Sales Strategy, Sales Forecasting, Sales Pipeline Management, Customer Relationship, Lead Generation",3-5 years in negotiation,Sales Support Specialist
Professional Services,Support Services,"Customer Service, Incident Management, IT Troubleshooting, Customer Communication, Technical Support",3-5 years in infrastructure design,Support Services Specialist
Finance,Budgeting,"Risk Management, Cost Analysis, Financial Reporting, Cash Flow Management, Budget Planning",3-5 years in accounting,Budgeting Specialist
Administration,Security & Utility,"Facility Security, Energy Management, Compliance Management, Security Management",3-5 years in facility maintenance,Security & Utility Specialist
Administration,Admin Office,"Event Planning, Scheduling, Office Management, Client Communication, Document Management",3-5 years in facility maintenance,Admin Office Specialist
Business Development,Bids,"Bid Strategies, Competitive Analysis, Tender Management, Proposal Writing",3-5 years in negotiation,Bids Specialist
Business Development,MENAT/Gulf,"Customer Acquisition, Regional Marketing, Sales Territory Management, Multilingual Communication",3-5 years in negotiation,MENAT/Gulf Specialist
Product Management,Marketing/Communication,"Public Relations, SEO Optimization, Brand Development, Content Marketing, Social Media Strategy",3-5 years in product management,Marketing/Communication Specialist
Human Resources,HRD,"Performance Management, Training Programs, Employee Development, Leadership Development",2-3 years in recruitment,HRD Specialist
Human Resources,Recruitment,"Talent Acquisition, Employee Onboarding, Job Posting, Interviewing, Hiring Strategy",3-5 years in HR management,Recruitment Specialist
Professional Services,Infrastructure Design Consulting,"Cloud Computing, IT Infrastructure, Network Architecture, Data Center Planning, Virtualization",3-5 years in infrastructure design,Infrastructure Design Consulting Specialist
Human Resources,HRD,"Training Programs, Employee Development, Performance Management, Leadership Development, Succession Planning",2-3 years in recruitment,HRD Specialist
Human Resources,Personnel,"Payroll Management, Employee Relations, HR Policies, Workforce Planning, Compliance Management",3-5 years in payroll management,Personnel Specialist
Product Management,Marketing/Communication,"Brand Development, SEO Optimization, Social Media Strategy, Public Relations",2-3 years in marketing,Marketing/Communication Specialist
Product Management,Quality Management,"Regulatory Requirements, Compliance Standards, Test Automation, Quality Assurance, Process Improvement",2-3 years in marketing,Quality Management Specialist
Product Development,Data Base,"Database Optimization, ETL Processes, SQL Database, NoSQL Databases, Database Security",2-3 years in software development,Data Base Specialist
Product Management,Quality Management,"Quality Assurance, Test Automation, Regulatory Requirements, Compliance Standards, Process Improvement",3-5 years in customer communication,Quality Management Specialist
Finance,Budgeting,"Cost Analysis, Cash Flow Management, Financial Reporting, Risk Management",3-5 years in accounting,Budgeting Specialist
Finance,General Ledger,"Journal Entries, Audit Preparation, Month-End Closing, Account Reconciliation, Financial Accounting",3-5 years in budgeting,General Ledger Specialist
Business Development,Pre-Sales,"Product Demonstrations, Sales Engineering, Solution Design, Technical Presentations",3-5 years in negotiation,Pre-Sales Specialist
Human Resources,HRIS,"Benefits Administration, Data Analytics, HR Software Integration, HR Information Systems",3-5 years in payroll management,HRIS Specialist
Administration,Admin Office,"Office Management, Event Planning, Document Management, Scheduling",2-3 years in office management,Admin Office Specialist
Finance,Budgeting,"Risk Management, Cost Analysis, Budget Planning, Cash Flow Management, Financial Reporting",3-5 years in budgeting,Budgeting Specialist
Product Development,Education Solutions,"Cloud Solutions, System Integration, Data Analytics, Software Development, Java",2-3 years in software development,Education Solutions Specialist
Professional Services,Support Services,"Incident Management, Customer Service, IT Troubleshooting, Technical Support, Customer Communication",3-5 years in infrastructure design,Support Services Specialist
Finance,Budgeting,"Financial Reporting, Budget Planning, Cash Flow Management, Risk Management, Cost Analysis",3-5 years in budgeting,Budgeting Specialist
Professional Services,Support Services,"Customer Service, Technical Support, Customer Communication, Incident Management, IT Troubleshooting",5-7 years in technical support,Support Services Specialist
Product Development,Data Base,"SQL Database, ETL Processes, NoSQL Databases, Database Optimization, Database Security",3-5 years in front-end development,Data Base Specialist
Business Development,MENAT/Gulf,"Sales Territory Management, Multilingual Communication, Market Penetration, Customer Acquisition",3-5 years in sales strategy,MENAT/Gulf Specialist
Finance,Cash Management,"Investment Analysis, Cash Flow Forecasting, Treasury Management, Bank Reconciliation",3-5 years in accounting,Cash Management Specialist
Business Development,Sales Support,"Lead Generation, Customer Relationship, Sales Strategy, Sales Pipeline Management, Sales Forecasting",3-5 years in sales strategy,Sales Support Specialist
Product Management,Education Solutions,"User Research, Customer Analysis, Business Strategy, Market Research, Product Roadmap",2-3 years in marketing,Education Solutions Specialist
Human Resources,Recruitment,"Hiring Strategy, Employee Onboarding, Interviewing, Job Posting",2-3 years in recruitment,Recruitment Specialist
Human Resources,Personnel,"Payroll Management, Compliance Management, Employee Relations, Workforce Planning, HR Policies",3-5 years in payroll management,Personnel Specialist
Business Development,Bids,"Contract Negotiation, Tender Management, Competitive Analysis, Proposal Writing",3-5 years in negotiation,Bids Specialist
Product Management,Quality Management,"Test Automation, Process Improvement, Quality Assurance, Regulatory Requirements",3-5 years in customer communication,Quality Management Specialist
Product Development,Data Base,"SQL Database, Database Security, ETL Processes, Database Optimization, NoSQL Databases",2-3 years in software development,Data Base Specialist
Business Development,Pre-Sales,"Solution Design, Technical Presentations, Sales Engineering, Product Demonstrations, Client Interaction",3-5 years in negotiation,Pre-Sales Specialist
Product Development,Data Base,"NoSQL Databases, Database Security, ETL Processes, Database Optimization, SQL Database",3-5 years in front-end development,Data Base Specialist
Professional Services,PMO,"Risk Management, Stakeholder Communication, Agile Methodology, Project Scheduling, Project Management",2-3 years in project management,PMO Specialist
Human Resources,HRIS,"HR Software Integration, HR Information Systems, Benefits Administration, Data Analytics, Employee Records Management",3-5 years in HR management,HRIS Specialist
Business Development,Bids,"Competitive Analysis, Proposal Writing, Tender Management, Contract Negotiation, Bid Strategies",2-3 years in market analysis,Bids Specialist
Human Resources,HRIS,"HR Software Integration, Employee Records Management, Benefits Administration, Data Analytics",3-5 years in HR management,HRIS Specialist
Professional Services,PMO,"Stakeholder Communication, Project Management, Project Scheduling, Risk Management, Agile Methodology",3-5 years in infrastructure design,PMO Specialist
Administration,Security & Utility,"Security Management, Compliance Management, Facility Security, Risk Assessment",2-3 years in office management,Security & Utility Specialist
Product Development,Data Base,"ETL Processes, Database Optimization, NoSQL Databases, Database Security",3-5 years in front-end development,Data Base Specialist
Professional Services,PMO,"Project Scheduling, Risk Management, Agile Methodology, Stakeholder Communication",5-7 years in technical support,PMO Specialist
Finance,General Ledger,"Audit Preparation, Account Reconciliation, Journal Entries, Month-End Closing, Financial Accounting",3-5 years in budgeting,General Ledger Specialist
Human Resources,Recruitment,"Employee Onboarding, Talent Acquisition, Hiring Strategy, Job Posting",3-5 years in HR management,Recruitment Specialist
Business Development,Pre-Sales,"Solution Design, Product Demonstrations, Sales Engineering, Client Interaction, Technical Presentations",3-5 years in negotiation,Pre-Sales Specialist
Human Resources,Recruitment,"Interviewing, Hiring Strategy, Talent Acquisition, Employee Onboarding, Job Posting",3-5 years in HR management,Recruitment Specialist
Finance,Sales,"Client Budgeting, Financial Reporting, Sales Analytics, Revenue Reporting, Account Reconciliation",3-5 years in accounting,Sales Specialist
Business Development,MENAT/Gulf,"Regional Marketing, Market Penetration, Multilingual Communication, Sales Territory Management, Customer Acquisition",3-5 years in sales strategy,MENAT/Gulf Specialist
Product Management,ERP/ERP/PMS Solutions,"Product Lifecycle Management, ERP Deployment, Customer Support, Agile Development",2-3 years in marketing,ERP/ERP/PMS Solutions Specialist
Product Development,Front-End,"Vue.js, React.js, JavaScript, CSS3, Angular, HTML5",3-5 years in mobile app development,Front-End Specialist
Product Management,Marketing/Communication,"SEO Optimization, Content Marketing, Social Media Strategy, Public Relations",2-3 years in marketing,Marketing/Communication Specialist
Professional Services,Support Services,"Incident Management, Technical Support, Customer Communication, Customer Service, IT Troubleshooting",3-5 years in infrastructure design,Support Services Specialist
Human Resources,HRIS,"Data Analytics, Employee Records Management, Benefits Administration, HR Software Integration",3-5 years in payroll management,HRIS Specialist
Product Management,Education Solutions,"User Research, Customer Analysis, Business Strategy, Product Roadmap, Market Research",2-3 years in marketing,Education Solutions Specialist
Professional Services,Support Services,"Customer Communication, Technical Support, Customer Service, Incident Management, IT Troubleshooting",5-7 years in technical support,Support Services Specialist
Product Management,ERP/ERP/PMS Solutions,"Customer Support, Vendor Management, Agile Development, ERP Deployment, Product Lifecycle Management",3-5 years in customer communication,ERP/ERP/PMS Solutions Specialist
Finance,Budgeting,"Budget Planning, Risk Management, Financial Reporting, Cost Analysis",3-5 years in budgeting,Budgeting Specialist
Product Development,Data Base,"NoSQL Databases, Database Security, SQL Database, Database Optimization, ETL Processes",2-3 years in software development,Data Base Specialist
Product Development,Data Base,"SQL Database, NoSQL Databases, Database Optimization, ETL Processes, Database Security",3-5 years in mobile app development,Data Base Specialist
Human Resources,HRD,"Leadership Development, Performance Management, Training Programs, Succession Planning, Employee Development",2-3 years in recruitment,HRD Specialist
Professional Services,Infrastructure Design Consulting,"Cloud Computing, Network Architecture, Data Center Planning, IT Infrastructure, Virtualization",2-3 years in project management,Infrastructure Design Consulting Specialist
Human Resources,HRIS,"Data Analytics, Benefits Administration, HR Software Integration, Employee Records Management, HR Information Systems",2-3 years in recruitment,HRIS Specialist
Finance,Budgeting,"Cost Analysis, Budget Planning, Risk Management, Financial Reporting, Cash Flow Management",3-5 years in accounting,Budgeting Specialist
Product Development,Data Base,"Database Optimization, SQL Database, ETL Processes, Database Security, NoSQL Databases",2-3 years in software development,Data Base Specialist
Human Resources,HRIS,"HR Software Integration, Data Analytics, HR Information Systems, Benefits Administration, Employee Records Management",3-5 years in HR management,HRIS Specialist
Professional Services,PMO,"Agile Methodology, Risk Management, Project Scheduling, Stakeholder Communication",5-7 years in technical support,PMO Specialist
Finance,Sales,"Sales Analytics, Account Reconciliation, Revenue Reporting, Financial Reporting, Client Budgeting",2-3 years in financial analysis,Sales Specialist
Product Development,ERP/ERP/PMS Solutions,"Requirements Gathering, PMS Customization, ERP Implementation, Business Process Modeling, System Integration",3-5 years in mobile app development,ERP/ERP/PMS Solutions Specialist
Administration,Admin Office,"Scheduling, Office Management, Document Management, Client Communication",3-5 years in facility maintenance,Admin Office Specialist
Human Resources,Recruitment,"Employee Onboarding, Interviewing, Job Posting, Hiring Strategy",3-5 years in payroll management,Recruitment Specialist
Product Development,Mobile Apps,"Mobile Testing, Android Development, iOS Development, React Native",2-3 years in software development,Mobile Apps Specialist
Product Development,Data Base,"Database Security, ETL Processes, Database Optimization, SQL Database, NoSQL Databases",3-5 years in mobile app development,Data Base Specialist
Business Development,Bids,"Contract Negotiation, Bid Strategies, Proposal Writing, Tender Management, Competitive Analysis",2-3 years in market analysis,Bids Specialist
Product Development,Education Solutions,"Cloud Solutions, Data Analytics, System Integration, Software Development, Java",3-5 years in front-end development,Education Solutions Specialist
Administration,Facilities Maintenance,"Inventory Control, Building Repairs, Facility Operations, Preventive Maintenance, Vendor Management",3-5 years in facility maintenance,Facilities Maintenance Specialist
Professional Services,Documentation,"Technical Writing, Knowledge Management, Process Documentation, Business Requirements, Product Documentation",2-3 years in project management,Documentation Specialist
Human Resources,HRIS,"Data Analytics, HR Software Integration, Benefits Administration, Employee Records Management, HR Information Systems",3-5 years in payroll management,HRIS Specialist
Product Management,Education Solutions,"Business Strategy, Market Research, User Research, Product Roadmap",3-5 years in product management,Education Solutions Specialist
Human Resources,HRD,"Training Programs, Succession Planning, Leadership Development, Employee Development, Performance Management",3-5 years in HR management,HRD Specialist
Product Management,Quality Management,"Quality Assurance, Test Automation, Process Improvement, Regulatory Requirements, Compliance Standards",3-5 years in customer communication,Quality Management Specialist
Human Resources,HRD,"Training Programs, Performance Management, Succession Planning, Leadership Development",3-5 years in payroll management,HRD Specialist
Product Management,Marketing/Communication,"Brand Development, Social Media Strategy, SEO Optimization, Content Marketing",3-5 years in product management,Marketing/Communication Specialist
